participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.strategies,player.row_move,player.random_time,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,0lb2wjbg,LAB3,0,46,45,payoff,GameOutcome,10.47.236.25,2019-01-24 17:13:54.885753+00:00,1,,,1606,1,"[{""strategy"":2,""time"":2.19},{""strategy"":1,""time"":8.75}]",1,10,0,1,1,77cx1z62,,,,,,0
2,t0lbq4x3,LAB2,0,46,45,payoff,GameOutcome,10.31.52.90,2019-01-24 17:13:56.186609+00:00,1,,,1806,2,"[{""strategy"":1,""time"":3.046}]",1,55,0,1,1,77cx1z62,,,,,,0
3,1o5dl7vy,LAB1,0,46,45,payoff,GameOutcome,10.16.211.44,2019-01-24 17:14:03.409764+00:00,1,,,2106,3,"[{""strategy"":1,""time"":1.75},{""strategy"":2,""time"":5.88}]",2,7,0,1,1,77cx1z62,,,,,,0
4,pgqfhyr8,LAB8,0,46,45,payoff,GameOutcome,10.113.227.235,2019-01-24 17:13:58.925971+00:00,1,,,806,4,"[{""strategy"":1,""time"":1.138}]",1,3,0,1,1,77cx1z62,,,,,,0
5,p5vhe9sq,LAB4,0,46,45,payoff,GameOutcome,10.47.177.168,2019-01-24 17:14:03.376865+00:00,1,,,1706,5,"[{""strategy"":1,""time"":1.364}]",1,24,0,1,1,77cx1z62,,,,,,0
6,2em5km2n,LAB5,0,46,45,payoff,GameOutcome,10.37.242.200,2019-01-24 17:14:03.966166+00:00,1,,,1406,6,"[{""strategy"":1,""time"":2.439}]",1,33,0,1,1,77cx1z62,,,,,,0
7,ujwmue0z,LAB6,0,46,45,payoff,GameOutcome,10.63.255.156,2019-01-24 17:14:04.139967+00:00,1,,,1507,7,"[{""strategy"":1,""time"":0.923},{""strategy"":2,""time"":12.772},{""strategy"":1,""time"":15.387},{""strategy"":2,""time"":18.186},{""strategy"":1,""time"":20.722},{""strategy"":2,""time"":21.443},{""strategy"":1,""time"":22.178},{""strategy"":2,""time"":22.779},{""strategy"":1,""time"":26.114},{""strategy"":2,""time"":26.658},{""strategy"":1,""time"":42.753}]",1,4,800,1,1,77cx1z62,,,,,,0
8,qilbatqv,LAB10,0,46,45,payoff,GameOutcome,10.142.105.142,2019-01-24 17:14:00.912688+00:00,1,,,1307,8,"[{""strategy"":1,""time"":8.924}]",1,18,0,1,1,77cx1z62,,,,,,0
9,5trhxuoe,LAB7,0,46,45,payoff,GameOutcome,10.69.187.197,2019-01-24 17:14:06.022313+00:00,1,,,1206,9,"[{""strategy"":1,""time"":0.945},{""strategy"":2,""time"":8.533},{""strategy"":1,""time"":13.068},{""strategy"":2,""time"":38.068},{""strategy"":1,""time"":40.244}]",1,57,0,1,1,77cx1z62,,,,,,0
10,o641l6k4,LAB9,0,46,45,payoff,GameOutcome,10.37.169.54,2019-01-24 17:14:07.534604+00:00,1,,,2506,10,"[{""strategy"":1,""time"":1.144},{""strategy"":2,""time"":23.757},{""strategy"":1,""time"":24.608},{""strategy"":2,""time"":25.648},{""strategy"":1,""time"":26.455},{""strategy"":2,""time"":27.136},{""strategy"":1,""time"":27.837},{""strategy"":2,""time"":28.375},{""strategy"":1,""time"":28.951}]",1,29,800,1,1,77cx1z62,,,,,,0
11,c0v4qan9,LAB12,0,46,45,payoff,GameOutcome,10.97.185.31,2019-01-24 17:14:09.733558+00:00,1,,,707,11,"[{""strategy"":1,""time"":0.692},{""strategy"":2,""time"":10.633},{""strategy"":1,""time"":15.464}]",2,12,100,1,1,77cx1z62,,,,,,0
12,81xnz4yu,LAB13,0,46,45,payoff,GameOutcome,10.140.162.50,2019-01-24 17:14:06.328172+00:00,1,,,1707,12,"[{""strategy"":1,""time"":3.942}]",0,1,0,1,1,77cx1z62,,,,,,0
13,k4tramti,LAB14,0,46,45,payoff,GameOutcome,10.79.217.135,2019-01-24 17:14:10.128381+00:00,1,,,1807,13,"[{""strategy"":1,""time"":6.722}]",1,13,0,1,1,77cx1z62,,,,,,0
14,p3a51zbr,LAB15,0,46,45,payoff,GameOutcome,10.63.212.72,2019-01-24 17:14:08.443959+00:00,1,,,3006,14,"[{""strategy"":1,""time"":0.574},{""strategy"":2,""time"":1.742},{""strategy"":1,""time"":5.381},{""strategy"":2,""time"":23.029},{""strategy"":1,""time"":37.581},{""strategy"":2,""time"":52.605},{""strategy"":1,""time"":62.092}]",1,48,0,1,1,77cx1z62,,,,,,0
15,1p1s5fq2,LAB16,0,46,45,payoff,GameOutcome,10.31.52.90,2019-01-24 17:14:09.629854+00:00,1,,,1506,15,"[{""strategy"":1,""time"":1.428}]",1,58,0,1,1,77cx1z62,,,,,,0
16,fg31zine,LAB11,0,46,45,payoff,GameOutcome,10.63.225.86,2019-01-24 17:14:31.465234+00:00,1,,,2707,16,"[{""strategy"":1,""time"":1.197},{""strategy"":2,""time"":16.346},{""strategy"":1,""time"":25.395}]",2,23,0,1,1,77cx1z62,,,,,,0
17,nadr9fib,LAB18,0,46,45,payoff,GameOutcome,10.45.83.39,2019-01-24 17:14:30.234360+00:00,1,,,1806,17,"[{""strategy"":1,""time"":3.02}]",1,18,0,1,1,77cx1z62,,,,,,0
18,4bhjmaks,LAB17,0,46,45,payoff,GameOutcome,10.16.214.130,2019-01-24 17:14:36.837958+00:00,1,,,2407,18,"[{""strategy"":1,""time"":1.988}]",1,41,0,1,1,77cx1z62,,,,,,0
19,dyfhrnow,LAB19,0,46,45,payoff,GameOutcome,10.45.114.69,2019-01-24 17:14:47.570603+00:00,1,,,2307,19,"[{""strategy"":1,""time"":3.882}]",1,13,0,1,1,77cx1z62,,,,,,0
1,0lb2wjbg,LAB3,0,46,45,payoff,GameOutcome,10.47.236.25,2019-01-24 17:13:54.885753+00:00,1,,,1606,1,"[{""strategy"":1,""time"":1.537},{""strategy"":2,""time"":33.137}]",2,45,0,1,2,77cx1z62,,,,,,0
2,t0lbq4x3,LAB2,0,46,45,payoff,GameOutcome,10.31.52.90,2019-01-24 17:13:56.186609+00:00,1,,,1806,2,"[{""strategy"":1,""time"":2.067},{""strategy"":2,""time"":14.804}]",2,23,0,1,2,77cx1z62,,,,,,0
3,1o5dl7vy,LAB1,0,46,45,payoff,GameOutcome,10.16.211.44,2019-01-24 17:14:03.409764+00:00,1,,,2106,3,"[{""strategy"":1,""time"":0.83},{""strategy"":2,""time"":3.117},{""strategy"":1,""time"":7.046},{""strategy"":2,""time"":39.275},{""strategy"":1,""time"":51.315}]",2,41,0,1,2,77cx1z62,,,,,,0
4,pgqfhyr8,LAB8,0,46,45,payoff,GameOutcome,10.113.227.235,2019-01-24 17:13:58.925971+00:00,1,,,806,4,"[{""strategy"":1,""time"":0.539},{""strategy"":2,""time"":18.209},{""strategy"":1,""time"":27.294}]",1,2,100,1,2,77cx1z62,,,,,,0
5,p5vhe9sq,LAB4,0,46,45,payoff,GameOutcome,10.47.177.168,2019-01-24 17:14:03.376865+00:00,1,,,1706,5,"[{""strategy"":1,""time"":1.73},{""strategy"":2,""time"":8.144}]",2,59,0,1,2,77cx1z62,,,,,,0
