participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.strategies,player.row_move,player.random_time,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,0lb2wjbg,LAB3,0,46,45,payoff,GameOutcome,10.47.236.25,2019-01-24 17:13:54.885753+00:00,1,,,1606,1,"[{""strategy"":2,""time"":3.14}]",2,7,6,1,1,77cx1z62,,,,,,0
2,t0lbq4x3,LAB2,0,46,45,payoff,GameOutcome,10.31.52.90,2019-01-24 17:13:56.186609+00:00,1,,,1806,2,"[{""strategy"":2,""time"":7.589},{""strategy"":1,""time"":16.509},{""strategy"":2,""time"":45.099}]",2,48,6,1,1,77cx1z62,,,,,,0
3,1o5dl7vy,LAB1,0,46,45,payoff,GameOutcome,10.16.211.44,2019-01-24 17:14:03.409764+00:00,1,,,2106,3,"[{""strategy"":1,""time"":2.655},{""strategy"":2,""time"":10.467},{""strategy"":1,""time"":33.914},{""strategy"":2,""time"":58.634}]",2,31,6,1,1,77cx1z62,,,,,,0
4,pgqfhyr8,LAB8,0,46,45,payoff,GameOutcome,10.113.227.235,2019-01-24 17:13:58.925971+00:00,1,,,806,4,"[{""strategy"":2,""time"":5.92}]",2,9,6,1,1,77cx1z62,,,,,,0
5,p5vhe9sq,LAB4,0,46,45,payoff,GameOutcome,10.47.177.168,2019-01-24 17:14:03.376865+00:00,1,,,1706,5,"[{""strategy"":2,""time"":3.536}]",2,39,6,1,1,77cx1z62,,,,,,0
6,2em5km2n,LAB5,0,46,45,payoff,GameOutcome,10.37.242.200,2019-01-24 17:14:03.966166+00:00,1,,,1406,6,"[{""strategy"":2,""time"":4.076}]",2,21,6,1,1,77cx1z62,,,,,,0
7,ujwmue0z,LAB6,0,46,45,payoff,GameOutcome,10.63.255.156,2019-01-24 17:14:04.139967+00:00,1,,,1507,7,"[{""strategy"":1,""time"":4.838},{""strategy"":2,""time"":11.868},{""strategy"":1,""time"":43.866},{""strategy"":2,""time"":46.914},{""strategy"":1,""time"":48.034},{""strategy"":2,""time"":48.861},{""strategy"":1,""time"":49.739},{""strategy"":2,""time"":50.402},{""strategy"":1,""time"":51.269},{""strategy"":2,""time"":51.91}]",1,50,7,1,1,77cx1z62,,,,,,0
8,qilbatqv,LAB10,0,46,45,payoff,GameOutcome,10.142.105.142,2019-01-24 17:14:00.912688+00:00,1,,,1307,8,"[{""strategy"":1,""time"":10.701}]",1,50,7,1,1,77cx1z62,,,,,,0
9,5trhxuoe,LAB7,0,46,45,payoff,GameOutcome,10.69.187.197,2019-01-24 17:14:06.022313+00:00,1,,,1206,9,"[{""strategy"":2,""time"":1.603},{""strategy"":1,""time"":21.549},{""strategy"":2,""time"":30.384},{""strategy"":1,""time"":31.924},{""strategy"":2,""time"":32.961},{""strategy"":1,""time"":34.215},{""strategy"":2,""time"":35.277},{""strategy"":1,""time"":36.292},{""strategy"":2,""time"":37.293},{""strategy"":1,""time"":44.2},{""strategy"":2,""time"":51.259},{""strategy"":1,""time"":55.475},{""strategy"":2,""time"":59.197},{""strategy"":1,""time"":60.692},{""strategy"":2,""time"":61.452},{""strategy"":1,""time"":62.42},{""strategy"":2,""time"":63.403},{""strategy"":1,""time"":64.875}]",2,54,6,1,1,77cx1z62,,,,,,0
10,o641l6k4,LAB9,0,46,45,payoff,GameOutcome,10.37.169.54,2019-01-24 17:14:07.534604+00:00,1,,,2506,10,"[{""strategy"":1,""time"":1.984},{""strategy"":2,""time"":8.751}]",2,54,6,1,1,77cx1z62,,,,,,0
11,c0v4qan9,LAB12,0,46,45,payoff,GameOutcome,10.97.185.31,2019-01-24 17:14:09.733558+00:00,1,,,707,11,"[{""strategy"":1,""time"":2.418},{""strategy"":2,""time"":3.426},{""strategy"":1,""time"":12.266},{""strategy"":2,""time"":19.137},{""strategy"":1,""time"":20.969}]",1,44,7,1,1,77cx1z62,,,,,,0
12,81xnz4yu,LAB13,0,46,45,payoff,GameOutcome,10.140.162.50,2019-01-24 17:14:06.328172+00:00,1,,,1707,12,"[{""strategy"":1,""time"":9.965},{""strategy"":2,""time"":15.229},{""strategy"":1,""time"":17.533},{""strategy"":2,""time"":48.359}]",1,29,7,1,1,77cx1z62,,,,,,0
13,k4tramti,LAB14,0,46,45,payoff,GameOutcome,10.79.217.135,2019-01-24 17:14:10.128381+00:00,1,,,1807,13,"[{""strategy"":1,""time"":1.674}]",1,42,7,1,1,77cx1z62,,,,,,0
14,p3a51zbr,LAB15,0,46,45,payoff,GameOutcome,10.63.212.72,2019-01-24 17:14:08.443959+00:00,1,,,3006,14,"[{""strategy"":2,""time"":22.895},{""strategy"":1,""time"":57.184},{""strategy"":2,""time"":57.887}]",2,28,6,1,1,77cx1z62,,,,,,0
15,1p1s5fq2,LAB16,0,46,45,payoff,GameOutcome,10.31.52.90,2019-01-24 17:14:09.629854+00:00,1,,,1506,15,"[{""strategy"":1,""time"":4.371},{""strategy"":2,""time"":28.121}]",2,40,6,1,1,77cx1z62,,,,,,0
16,fg31zine,LAB11,0,46,45,payoff,GameOutcome,10.63.225.86,2019-01-24 17:14:31.465234+00:00,1,,,2707,16,"[{""strategy"":1,""time"":1.85},{""strategy"":2,""time"":28.406}]",1,20,7,1,1,77cx1z62,,,,,,0
17,nadr9fib,LAB18,0,46,45,payoff,GameOutcome,10.45.83.39,2019-01-24 17:14:30.234360+00:00,1,,,1806,17,"[{""strategy"":2,""time"":4.678}]",2,46,6,1,1,77cx1z62,,,,,,0
18,4bhjmaks,LAB17,0,46,45,payoff,GameOutcome,10.16.214.130,2019-01-24 17:14:36.837958+00:00,1,,,2407,18,"[{""strategy"":1,""time"":1.513},{""strategy"":2,""time"":39.63},{""strategy"":1,""time"":40.573},{""strategy"":2,""time"":57.965},{""strategy"":1,""time"":60.869}]",1,27,7,1,1,77cx1z62,,,,,,0
19,dyfhrnow,LAB19,0,46,45,payoff,GameOutcome,10.45.114.69,2019-01-24 17:14:47.570603+00:00,1,,,2307,19,"[{""strategy"":1,""time"":3.781}]",1,41,7,1,1,77cx1z62,,,,,,0
