session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,i2k63arc,1,instructions,Instructions,1548357799,535,1,False
1,1,i2k63arc,2,practice,PracticeInfo,1548357808,9,1,False
1,1,i2k63arc,3,practice,PracticeGame,1548357878,70,1,False
1,1,i2k63arc,4,practice,PracticeGameOutcome,1548357944,66,1,False
1,1,i2k63arc,5,game,GameInfo,1548357948,4,1,False
1,1,i2k63arc,6,game,Game,1548358021,73,1,False
1,1,i2k63arc,8,game,Game,1548358091,70,2,False
1,1,i2k63arc,10,game,Game,1548358160,69,3,False
1,1,i2k63arc,12,game,Game,1548358228,68,4,False
1,1,i2k63arc,14,game,Game,1548358295,67,5,False
1,1,i2k63arc,16,game,Game,1548358364,69,6,False
1,1,i2k63arc,18,game,Game,1548358437,73,7,False
1,1,i2k63arc,20,game,Game,1548358506,69,8,False
1,1,i2k63arc,22,game,Game,1548358576,70,9,False
1,1,i2k63arc,24,game,Game,1548358646,70,10,False
1,1,i2k63arc,26,game,Game,1548358715,69,11,False
1,1,i2k63arc,28,game,Game,1548358785,70,12,False
1,1,i2k63arc,30,game,Game,1548358854,69,13,False
1,1,i2k63arc,32,game,Game,1548358923,69,14,False
1,1,i2k63arc,34,game,Game,1548358993,70,15,False
1,1,i2k63arc,36,game,Game,1548359061,68,16,False
1,1,i2k63arc,38,game,Game,1548359130,69,17,False
1,1,i2k63arc,40,game,Game,1548359202,72,18,False
1,1,i2k63arc,42,game,Game,1548359270,68,19,False
1,1,i2k63arc,44,game,Game,1548359339,69,20,False
1,1,i2k63arc,45,payoff,GameOutcome,1548359343,4,1,False
1,2,e7vef4ct,1,instructions,Instructions,1548357822,557,1,False
1,2,e7vef4ct,2,practice,PracticeInfo,1548357824,2,1,False
1,2,e7vef4ct,3,practice,PracticeGame,1548357892,68,1,False
1,2,e7vef4ct,4,practice,PracticeGameOutcome,1548357944,52,1,False
1,2,e7vef4ct,5,game,GameInfo,1548357948,4,1,False
1,2,e7vef4ct,6,game,Game,1548358016,68,1,False
1,2,e7vef4ct,8,game,Game,1548358085,69,2,False
1,2,e7vef4ct,10,game,Game,1548358152,67,3,False
1,2,e7vef4ct,12,game,Game,1548358220,68,4,False
1,2,e7vef4ct,14,game,Game,1548358288,68,5,False
1,2,e7vef4ct,16,game,Game,1548358356,68,6,False
1,2,e7vef4ct,18,game,Game,1548358424,68,7,False
1,2,e7vef4ct,20,game,Game,1548358491,67,8,False
1,2,e7vef4ct,22,game,Game,1548358559,68,9,False
1,2,e7vef4ct,24,game,Game,1548358626,67,10,False
1,2,e7vef4ct,26,game,Game,1548358696,70,11,False
1,2,e7vef4ct,28,game,Game,1548358764,68,12,False
1,2,e7vef4ct,30,game,Game,1548358836,72,13,False
1,2,e7vef4ct,32,game,Game,1548358904,68,14,False
1,2,e7vef4ct,34,game,Game,1548358973,69,15,False
1,2,e7vef4ct,36,game,Game,1548359040,67,16,False
1,2,e7vef4ct,38,game,Game,1548359109,69,17,False
1,2,e7vef4ct,40,game,Game,1548359179,70,18,False
